date,wti_price
2022-12-01,74.07
2022-12-02,68.1
2022-12-03,69.94
2022-12-04,68.54
2022-12-04,73.04
2022-12-05,68.3
2022-12-05,72.32
2022-12-06,67.2
2022-12-06,69.38
2022-12-07,69.34
2022-12-08,71.23
2022-12-09,68.37
2022-12-10,68.59
2022-12-11,71.32
2022-12-11,70.29
2022-12-12,73.17
2022-12-12,68.61
2022-12-13,75.39
2022-12-13,69.47
2022-12-14,77.28
2022-12-14,71.58
2022-12-15,76.11
2022-12-15,71.43
2022-12-16,74.29
2022-12-18,72.47
2022-12-19,75.19
2022-12-19,73.44
2022-12-20,76.09
2022-12-20,74.22
2022-12-21,78.29
2022-12-21,73.89
2022-12-22,73.56
2022-12-22,77.49
2022-12-23,79.56
2022-12-26,75.57
2022-12-27,74.11
2022-12-27,79.53
2022-12-28,71.77
2022-12-28,78.96
2022-12-29,71.65
2022-12-29,78.4
2022-12-30,80.26
2023-01-02,70.38
2023-01-03,72.7
2023-01-03,76.93
2023-01-04,72.19
2023-01-04,72.84
2023-01-05,73.67
2023-01-05,73.81
2023-01-06,73.77
2023-01-08,70.77
2023-01-09,74.63
2023-01-09,72.24
2023-01-10,75.12
2023-01-10,71.37
2023-01-11,77.41
2023-01-11,72.02
2023-01-12,78.39
2023-01-12,72.68
2023-01-13,79.86
2023-01-16,72.4
2023-01-17,80.18
2023-01-17,72.56
2023-01-18,74.08
2023-01-18,79.48
2023-01-19,73.41
2023-01-19,80.33
2023-01-20,81.31
2023-01-22,75.19
2023-01-23,74.37
2023-01-23,81.62
2023-01-24,75.09
2023-01-24,80.13
2023-01-25,77.36
2023-01-25,80.15
2023-01-26,81.01
2023-01-26,78.01
2023-01-27,79.68
2023-01-29,76.78
2023-01-30,77.82
2023-01-30,77.9
2023-01-31,78.87
2023-01-31,75.85
2023-02-01,76.41
2023-02-01,73.82
2023-02-02,75.88
2023-02-02,72.28
2023-02-03,73.39
2023-02-05,72.78
2023-02-06,74.11
2023-02-06,73.31
2023-02-07,77.14
2023-02-07,73.86
2023-02-08,76.22
2023-02-08,78.47
2023-02-09,76.84
2023-02-09,78.06
2023-02-10,79.72
2023-02-12,76.92
2023-02-13,77.87
2023-02-13,80.14
2023-02-14,79.06
2023-02-14,76.64
2023-02-15,78.59
2023-02-15,78.03
2023-02-16,78.49
2023-02-16,79.19
2023-02-17,76.34
2023-02-20,78.18
2023-02-21,77.91
2023-02-21,76.16
2023-02-22,73.95
2023-02-22,78.61
2023-02-23,75.39
2023-02-23,76.49
2023-02-24,76.32
2023-02-26,77.58
2023-02-27,75.68
2023-02-27,78.87
2023-02-28,77.05
2023-02-28,78.54
2023-03-01,77.69
2023-03-01,79.97
2023-03-02,78.16
2023-03-03,79.68
2023-03-04,78.74
2023-03-05,78.15
2023-03-06,80.46
2023-03-06,79.13
2023-03-07,77.58
2023-03-07,78.93
2023-03-08,76.66
2023-03-08,78.01
2023-03-09,75.72
2023-03-10,76.68
2023-03-11,77.93
2023-03-12,77.56
2023-03-13,79.72
2023-03-13,74.8
2023-03-14,71.33
2023-03-14,81.26
2023-03-15,67.61
2023-03-15,81.04
2023-03-16,68.35
2023-03-17,66.74
2023-03-18,82.72
2023-03-19,83.47
2023-03-20,67.64
2023-03-20,81.68
2023-03-21,69.33
2023-03-21,81.07
2023-03-22,80.63
2023-03-22,70.9
2023-03-23,69.96
2023-03-24,69.26
2023-03-25,81.95
2023-03-26,81.62
2023-03-27,72.81
2023-03-27,81.35
2023-03-28,83.17
2023-03-28,73.2
2023-03-29,72.97
2023-03-30,74.37
2023-03-31,75.67
2023-04-01,83.71
2023-04-02,85.15
2023-04-03,80.42
2023-04-03,85.43
2023-04-04,80.71
2023-04-04,86.59
2023-04-05,86.91
2023-04-05,80.61
2023-04-06,80.7
2023-04-08,86.43
2023-04-09,85.23
2023-04-10,79.74
2023-04-10,86.21
2023-04-11,81.53
2023-04-11,85.02
2023-04-12,83.26
2023-04-12,85.66
2023-04-13,82.16
2023-04-14,82.52
2023-04-15,85.41
2023-04-16,85.36
2023-04-17,80.83
2023-04-17,82.69
2023-04-18,80.86
2023-04-18,82.73
2023-04-19,83.14
2023-04-19,79.16
2023-04-20,77.29
2023-04-21,77.87
2023-04-22,82.85
2023-04-23,83.36
2023-04-24,82.81
2023-04-24,78.76
2023-04-25,77.07
2023-04-25,83.57
2023-04-26,74.3
2023-04-26,83.85
2023-04-27,74.76
2023-04-28,76.78
2023-04-29,82.63
2023-04-30,81.93
2023-05-01,79.0
2023-05-01,75.66
2023-05-02,78.95
2023-05-02,71.66
2023-05-03,78.11
2023-05-03,68.6
2023-05-04,68.56
2023-05-05,71.34
2023-05-06,78.48
2023-05-07,78.38
2023-05-08,73.16
2023-05-08,78.99
2023-05-09,79.26
2023-05-09,73.71
2023-05-10,78.26
2023-05-10,72.56
2023-05-11,70.87
2023-05-12,70.04
2023-05-13,79.12
2023-05-14,78.02
2023-05-15,71.11
2023-05-15,78.63
2023-05-16,70.86
2023-05-16,79.23
2023-05-17,72.83
2023-05-17,80.06
2023-05-18,71.86
2023-05-19,71.55
2023-05-20,79.8
2023-05-21,79.26
2023-05-22,71.99
2023-05-22,77.57
2023-05-23,76.87
2023-05-23,72.91
2023-05-24,77.72
2023-05-24,74.34
2023-05-25,71.83
2023-05-26,72.67
2023-05-28,79.83
2023-05-29,79.23
2023-05-30,69.46
2023-05-30,77.91
2023-05-31,68.09
2023-05-31,76.99
2023-06-01,70.1
2023-06-02,71.74
2023-06-03,74.22
2023-06-04,73.25
2023-06-05,72.15
2023-06-05,74.07
2023-06-06,75.55
2023-06-06,71.74
2023-06-07,72.53
2023-06-07,75.53
2023-06-08,71.29
2023-06-09,70.17
2023-06-10,77.74
2023-06-11,77.9
2023-06-12,78.5
2023-06-12,67.12
2023-06-13,78.62
2023-06-13,69.42
2023-06-14,78.45
2023-06-14,68.27
2023-06-15,70.62
2023-06-16,71.78
2023-06-17,80.33
2023-06-18,81.57
2023-06-20,82.17
2023-06-20,70.5
2023-06-21,72.53
2023-06-21,80.73
2023-06-22,69.51
2023-06-23,69.16
2023-06-24,81.63
2023-06-25,80.83
2023-06-26,69.37
2023-06-26,80.9
2023-06-27,81.74
2023-06-27,67.7
2023-06-28,69.56
2023-06-28,81.54
2023-06-29,69.86
2023-06-30,70.64
2023-07-01,83.38
2023-07-02,82.81
2023-07-03,69.79
2023-07-03,83.88
2023-07-05,71.79
2023-07-05,83.16
2023-07-06,71.8
2023-07-07,73.86
2023-07-08,82.33
2023-07-09,81.41
2023-07-10,82.1
2023-07-10,72.99
2023-07-11,82.62
2023-07-11,74.83
2023-07-12,82.21
2023-07-12,75.75
2023-07-13,76.89
2023-07-14,75.42
2023-07-15,81.91
2023-07-16,80.76
2023-07-17,82.85
2023-07-17,74.15
2023-07-18,82.82
2023-07-18,75.75
2023-07-19,75.35
2023-07-19,80.13
2023-07-20,75.63
2023-07-21,77.07
2023-07-22,79.78
2023-07-23,76.96
2023-07-24,78.74
2023-07-24,77.59
2023-07-25,79.63
2023-07-25,78.28
2023-07-26,77.16
2023-07-26,78.78
2023-07-27,80.09
2023-07-28,80.58
2023-07-29,75.81
2023-07-30,74.73
2023-07-31,77.91
2023-07-31,81.8
2023-08-01,81.37
2023-08-01,76.31
2023-08-02,73.52
2023-08-02,79.49
2023-08-03,81.55
2023-08-04,82.82
2023-08-05,72.94
2023-08-06,73.2
2023-08-07,81.94
2023-08-07,75.23
2023-08-08,82.92
2023-08-08,76.19
2023-08-09,76.84
2023-08-09,84.4
2023-08-10,82.82
2023-08-11,83.19
2023-08-12,80.06
2023-08-13,78.35
2023-08-14,82.51
2023-08-14,76.98
2023-08-15,78.16
2023-08-15,80.99
2023-08-16,79.38
2023-08-16,76.65
2023-08-17,80.39
2023-08-18,81.25
2023-08-19,74.37
2023-08-20,74.04
2023-08-21,71.93
2023-08-21,80.72
2023-08-22,80.35
2023-08-22,73.01
2023-08-23,78.89
2023-08-23,74.83
2023-08-24,79.05
2023-08-25,79.83
2023-08-26,77.42
2023-08-27,75.53
2023-08-28,80.1
2023-08-28,74.52
2023-08-29,81.16
2023-08-29,75.91
2023-08-30,81.63
2023-08-30,73.55
2023-08-31,83.63
2023-09-01,85.55
2023-09-03,70.34
2023-09-04,69.2
2023-09-05,69.15
2023-09-05,86.69
2023-09-06,67.67
2023-09-06,87.54
2023-09-07,86.87
2023-09-08,87.51
2023-09-09,68.71
2023-09-10,65.75
2023-09-11,67.31
2023-09-11,87.29
2023-09-12,68.97
2023-09-12,88.84
2023-09-13,68.65
2023-09-13,88.52
2023-09-14,90.16
2023-09-15,90.77
2023-09-16,70.09
2023-09-17,71.19
2023-09-18,70.91
2023-09-18,91.48
2023-09-19,91.2
2023-09-19,71.95
2023-09-20,90.28
2023-09-20,71.92
2023-09-21,89.63
2023-09-22,90.03
2023-09-23,70.37
2023-09-24,71.56
2023-09-25,89.68
2023-09-25,69.69
2023-09-26,90.39
2023-09-26,67.67
2023-09-27,68.18
2023-09-27,93.68
2023-09-28,91.71
2023-09-29,90.79
2023-09-30,68.17
2023-10-01,69.83
2023-10-02,70.1
2023-10-02,88.82
2023-10-03,73.71
2023-10-03,89.23
2023-10-04,74.38
2023-10-04,84.22
2023-10-05,82.31
2023-10-06,82.79
2023-10-07,77.14
2023-10-08,73.57
2023-10-09,86.38
2023-10-09,73.24
2023-10-10,75.85
2023-10-10,85.97
2023-10-11,75.56
2023-10-11,83.49
2023-10-12,82.91
2023-10-13,87.69
2023-10-14,73.83
2023-10-15,70.58
2023-10-16,70.39
2023-10-16,86.66
2023-10-17,70.67
2023-10-17,86.66
2023-10-18,69.22
2023-10-18,88.32
2023-10-19,89.37
2023-10-20,88.75
2023-10-21,70.56
2023-10-22,72.09
2023-10-23,85.49
2023-10-23,70.77
2023-10-24,70.19
2023-10-24,83.74
2023-10-25,85.39
2023-10-25,71.78
2023-10-26,83.21
2023-10-27,85.54
2023-10-28,67.38
2023-10-29,67.21
2023-10-30,68.61
2023-10-30,82.31
2023-10-31,81.02
2023-10-31,69.26
2023-11-01,69.49
2023-11-01,80.44
2023-11-02,82.46
2023-11-03,80.51
2023-11-04,71.47
2023-11-05,71.99
2023-11-06,80.82
2023-11-06,71.69
2023-11-07,72.36
2023-11-07,77.37
2023-11-08,75.33
2023-11-08,70.38
2023-11-09,75.74
2023-11-10,77.17
2023-11-11,68.04
2023-11-12,68.12
2023-11-13,68.43
2023-11-13,78.26
2023-11-14,68.7
2023-11-14,78.26
2023-11-15,76.66
2023-11-15,67.02
2023-11-16,72.9
2023-11-17,75.89
2023-11-18,69.16
2023-11-19,69.39
2023-11-20,68.87
2023-11-20,77.6
2023-11-21,70.1
2023-11-21,77.77
2023-11-22,71.24
2023-11-22,77.1
2023-11-24,75.54
2023-11-25,68.94
2023-11-26,68.77
2023-11-27,74.86
2023-11-27,68.72
2023-11-28,76.41
2023-11-29,77.86
2023-11-29,68.0
2023-11-30,75.96
